"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"spaghetti","hot dogs","white wine","mayonnaise","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"soda","white wine","","","","","","","","","","","","","","","","","",""
"ham","spaghetti","mineral water","french wine","frozen smoothie","cottage cheese","","","","","","","","","","","","","",""
"spaghetti","mineral water","whole wheat rice","","","","","","","","","","","","","","","","",""
"french fries","frozen smoothie","body spray","light mayo","toothpaste","","","","","","","","","","","","","","",""
"pancakes","honey","barbecue sauce","","","","","","","","","","","","","","","","",""
"muffins","eggs","pancakes","","","","","","","","","","","","","","","","",""
"honey","pancakes","green tea","","","","","","","","","","","","","","","","",""
"mineral water","pancakes","","","","","","","","","","","","","","","","","",""
"sandwich","","","","","","","","","","","","","","","","","","",""
"red wine","shrimp","spaghetti","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"eggs","whole wheat rice","cookies","","","","","","","","","","","","","","","","",""
"hot dogs","pancakes","","","","","","","","","","","","","","","","","",""
"grated cheese","chicken","low fat yogurt","","","","","","","","","","","","","","","","",""
"burgers","ham","spaghetti","soup","almonds","pancakes","eggs","cake","cereals","chocolate","french fries","low fat yogurt","green tea","","","","","","",""
"chocolate","eggs","bug spray","","","","","","","","","","","","","","","","",""
"tomatoes","tomato sauce","spaghetti","olive oil","oil","chocolate","","","","","","","","","","","","","",""
"strawberries","","","","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"hot dogs","","","","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"grated cheese","mineral water","chicken","nonfat milk","whole wheat rice","chocolate bread","","","","","","","","","","","","","",""
"frozen vegetables","milk","fromage blanc","eggs","chocolate","french fries","champagne","salad","","","","","","","","","","","",""
"grated cheese","tomato juice","","","","","","","","","","","","","","","","","",""
"grated cheese","","","","","","","","","","","","","","","","","","",""
"burgers","fresh tuna","frozen vegetables","mineral water","milk","cider","eggs","soda","cottage cheese","fresh bread","low fat yogurt","","","","","","","","",""
"tomato sauce","spaghetti","tomato juice","fresh bread","","","","","","","","","","","","","","","",""
"ground beef","mineral water","soup","","","","","","","","","","","","","","","","",""
"frozen vegetables","mineral water","energy bar","french fries","hot dogs","energy drink","low fat yogurt","","","","","","","","","","","","",""
"fresh bread","white wine","","","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"grated cheese","tomatoes","","","","","","","","","","","","","","","","","",""
"mineral water","fresh bread","","","","","","","","","","","","","","","","","",""
"honey","cookies","","","","","","","","","","","","","","","","","",""
"red wine","barbecue sauce","chili","pet food","whole weat flour","french fries","low fat yogurt","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"turkey","tomatoes","pepper","strong cheese","whole wheat rice","french fries","frozen smoothie","hot dogs","pancakes","babies food","green tea","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"spaghetti","strong cheese","","","","","","","","","","","","","","","","","",""
"herb & pepper","ground beef","spaghetti","mineral water","pancakes","tomato juice","","","","","","","","","","","","","",""
"mineral water","french fries","protein bar","","","","","","","","","","","","","","","","",""
"burgers","meatballs","eggs","french fries","","","","","","","","","","","","","","","",""
"frozen vegetables","mineral water","eggs","","","","","","","","","","","","","","","","",""
"oatmeal","french fries","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","mineral water","soup","chicken","pancakes","champagne","fresh bread","","","","","","","","","","","",""
"milk","chocolate","champagne","","","","","","","","","","","","","","","","",""
"yogurt cake","","","","","","","","","","","","","","","","","","",""
"herb & pepper","spaghetti","pancakes","cake","","","","","","","","","","","","","","","",""
"vegetables mix","","","","","","","","","","","","","","","","","","",""
"eggs","pet food","","","","","","","","","","","","","","","","","",""
"turkey","grated cheese","avocado","butter","cooking oil","fresh bread","","","","","","","","","","","","","",""
"mineral water","milk","french wine","eggs","chocolate","","","","","","","","","","","","","","",""
"pickles","spaghetti","mineral water","olive oil","cooking oil","cereals","french fries","hot dogs","","","","","","","","","","","",""
"red wine","","","","","","","","","","","","","","","","","","",""
"fresh bread","","","","","","","","","","","","","","","","","","",""
"fresh tuna","parmesan cheese","fresh bread","","","","","","","","","","","","","","","","",""
"escalope","pasta","","","","","","","","","","","","","","","","","",""
"chocolate","spaghetti","strawberries","green tea","","","","","","","","","","","","","","","",""
"mineral water","olive oil","","","","","","","","","","","","","","","","","",""
"burgers","corn","low fat yogurt","","","","","","","","","","","","","","","","",""
"red wine","ground beef","tomato sauce","spaghetti","chocolate","escalope","low fat yogurt","","","","","","","","","","","","",""
"spaghetti","french wine","low fat yogurt","","","","","","","","","","","","","","","","",""
"ground beef","mineral water","chocolate","fromage blanc","bacon","hot dogs","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","spaghetti","olive oil","strong cheese","eggs","","","","","","","","","","","","","",""
"salmon","","","","","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"eggs","escalope","","","","","","","","","","","","","","","","","",""
"burgers","frozen vegetables","chocolate","vegetables mix","rice","frozen smoothie","","","","","","","","","","","","","",""
"soup","chicken","gums","soda","body spray","energy drink","green tea","","","","","","","","","","","","",""
"burgers","ground beef","spaghetti","avocado","milk","olive oil","almonds","pancakes","honey","cake","chocolate","frozen smoothie","sparkling water","","","","","","",""
"burgers","mineral water","avocado","corn","escalope","","","","","","","","","","","","","","",""
"burgers","ham","grated cheese","ground beef","spaghetti","almonds","cooking oil","cereals","green tea","shampoo","","","","","","","","","",""
"turkey","pancakes","eggs","","","","","","","","","","","","","","","","",""
"shrimp","babies food","","","","","","","","","","","","","","","","","",""
"eggs","cookies","green tea","honey","","","","","","","","","","","","","","","",""
"tomatoes","meatballs","butter","muffins","eggs","babies food","low fat yogurt","","","","","","","","","","","","",""
"mineral water","cake","","","","","","","","","","","","","","","","","",""
"mineral water","chocolate","eggs","rice","light mayo","","","","","","","","","","","","","","",""
"pasta","","","","","","","","","","","","","","","","","","",""
"turkey","tomato juice","","","","","","","","","","","","","","","","","",""
"mineral water","french wine","chicken","","","","","","","","","","","","","","","","",""
"grated cheese","tomatoes","spaghetti","mineral water","soup","honey","chicken","chocolate","french fries","","","","","","","","","","",""
"tomatoes","pepper","mineral water","milk","salmon","nonfat milk","eggs","gums","cooking oil","escalope","","","","","","","","","",""
"soup","fresh bread","","","","","","","","","","","","","","","","","",""
"turkey","herb & pepper","chocolate","","","","","","","","","","","","","","","","",""
"grated cheese","pancakes","french fries","","","","","","","","","","","","","","","","",""
"almonds","eggs","","","","","","","","","","","","","","","","","",""
"grated cheese","herb & pepper","muffins","eggs","low fat yogurt","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"red wine","candy bars","","","","","","","","","","","","","","","","","",""
"avocado","muffins","","","","","","","","","","","","","","","","","",""
"french fries","pancakes","","","","","","","","","","","","","","","","","",""
"mineral water","vegetables mix","french fries","fresh bread","cauliflower","","","","","","","","","","","","","","",""
"tomatoes","cake","","","","","","","","","","","","","","","","","",""
"pepper","tomato sauce","escalope","","","","","","","","","","","","","","","","",""
"red wine","mineral water","soup","rice","cookies","","","","","","","","","","","","","","",""
